@RELATION Features

@ATTRIBUTE BBBarycenterX0 NUMERIC
@ATTRIBUTE BBBarycenterY0 NUMERIC
@ATTRIBUTE PixelsRatio0 NUMERIC
@ATTRIBUTE BBBarycenterX1 NUMERIC
@ATTRIBUTE BBBarycenterY1 NUMERIC
@ATTRIBUTE PixelsRatio1 NUMERIC
@ATTRIBUTE BBBarycenterX2 NUMERIC
@ATTRIBUTE BBBarycenterY2 NUMERIC
@ATTRIBUTE PixelsRatio2 NUMERIC
@ATTRIBUTE BBBarycenterX3 NUMERIC
@ATTRIBUTE BBBarycenterY3 NUMERIC
@ATTRIBUTE PixelsRatio3 NUMERIC
@ATTRIBUTE BBBarycenterX4 NUMERIC
@ATTRIBUTE BBBarycenterY4 NUMERIC
@ATTRIBUTE PixelsRatio4 NUMERIC
@ATTRIBUTE BBRatio NUMERIC
@ATTRIBUTE class {accident,bomb,car,casualty,electricity,fire,fire_brigade,flood,gas,injury,paramedics,person,police,roadblock}


@DATA
0.48913,0.612022,0.893799,0.826087,0.648352,0.92236,0.630435,0.516484,0.809006,0.347826,0.56044,0.93096,0.576087,0.637363,0.913641,1.00546,accident
0.452055,0.51875,0.829281,0.643836,0.5375,0.795719,0.589041,0.4875,0.758048,0.342466,0.4875,0.871918,0.60274,0.625,0.891438,0.9125,accident
0.49375,0.6,0.867619,0.7,0.619048,0.914286,0.6,0.552381,0.79131,0.3125,0.619048,0.885357,0.55,0.571429,0.879524,0.761905,accident
0.427746,0.588235,0.852459,0.662791,0.627451,0.839945,0.534884,0.490196,0.745326,0.27907,0.607843,0.920429,0.651163,0.696078,0.903443,0.848039,accident
0.468927,0.563452,0.863747,0.693182,0.663265,0.857607,0.534091,0.561224,0.814471,0.295455,0.540816,0.879174,0.647727,0.663265,0.908859,0.898477,accident
0.468354,0.584416,0.808976,0.589744,0.526316,0.842105,0.410256,0.578947,0.726721,0.564103,0.394737,0.87247,0.564103,0.657895,0.804318,1.02597,accident
0.442308,0.607143,0.84272,0.519231,0.52381,0.865842,0.480769,0.595238,0.755495,0.442308,0.547619,0.907509,0.519231,0.571429,0.842033,1.2381,accident
0.444444,0.573034,0.819511,0.451613,0.590909,0.822581,0.322581,0.568182,0.777859,0.451613,0.431818,0.871701,0.548387,0.613636,0.812317,0.707865,accident
0.430769,0.587156,0.835709,0.65625,0.648148,0.858218,0.375,0.537037,0.737269,0.4375,0.518519,0.891782,0.53125,0.537037,0.855324,0.59633,accident
0.513514,0.574257,0.817634,0.648649,0.54,0.883243,0.297297,0.58,0.803784,0.432432,0.5,0.818919,0.513514,0.6,0.770811,0.732673,accident
0.471366,0.625,0.911828,0.60177,0.46,0.918673,0.451327,0.62,0.876372,0.362832,0.68,0.954602,0.628319,0.69,0.897699,1.135,accident
0.455497,0.609375,0.902323,0.515789,0.5,0.904605,0.484211,0.604167,0.858224,0.473684,0.59375,0.94989,0.589474,0.635417,0.896382,0.994792,accident
0.458763,0.609756,0.904903,0.57732,0.5,0.907115,0.43299,0.588235,0.867192,0.329897,0.607843,0.951183,0.628866,0.676471,0.896705,0.946341,accident
0.5,0.587912,0.889478,0.655172,0.461538,0.915751,0.425287,0.637363,0.863711,0.367816,0.549451,0.902362,0.586207,0.659341,0.876089,0.956044,accident
0.461538,0.60989,0.895604,0.639175,0.472527,0.889317,0.463918,0.615385,0.855104,0.402062,0.67033,0.947887,0.597938,0.692308,0.891243,1.07143,accident
0.591837,0.539267,0.896214,0.671233,0.6,0.937563,0.342466,0.568421,0.911896,0.561644,0.421053,0.867772,0.657534,0.6,0.87354,0.769634,accident
0.56391,0.52,0.888647,0.636364,0.59,0.907727,0.515152,0.41,0.88803,0.590909,0.38,0.886212,0.621212,0.6,0.870152,0.665,accident
0.540373,0.552995,0.908378,0.6625,0.638889,0.936111,0.4625,0.546296,0.887037,0.525,0.388889,0.905324,0.6875,0.611111,0.906134,0.741935,accident
0.565517,0.518919,0.898751,0.625,0.532609,0.920139,0.388889,0.565217,0.92346,0.444444,0.456522,0.877566,0.666667,0.565217,0.880737,0.783784,accident
0.514286,0.540816,0.883127,0.628571,0.540816,0.888484,0.442857,0.540816,0.862682,0.485714,0.428571,0.902187,0.685714,0.602041,0.879155,0.714286,accident
0.5,0.569444,0.81026,0.774194,0.472222,0.855735,0.387097,0.444444,0.818996,0.0967742,0.666667,0.842294,0.483871,0.527778,0.724014,0.861111,accident
0.363636,0.608696,0.798913,0.575758,0.521739,0.810935,0.393939,0.586957,0.621871,0.30303,0.608696,0.911726,0.515152,0.5,0.85112,0.717391,accident
0.472222,0.626374,0.856074,0.694444,0.666667,0.912963,0.361111,0.577778,0.791358,0.361111,0.466667,0.904938,0.5,0.577778,0.82037,0.791209,accident
0.478261,0.574713,0.822089,0.647059,0.534884,0.862517,0.264706,0.627907,0.777018,0.441176,0.488372,0.832421,0.617647,0.651163,0.828317,0.793103,accident
0.452055,0.597403,0.825298,0.472222,0.763158,0.921053,0.416667,0.552632,0.700292,0.472222,0.394737,0.85307,0.527778,0.526316,0.832602,0.948052,accident
0.497143,0.582915,0.904379,0.54023,0.565657,0.920817,0.37931,0.585859,0.878672,0.574713,0.434343,0.922095,0.678161,0.676768,0.905259,0.879397,accident
0.454545,0.572115,0.903577,0.577465,0.548077,0.903304,0.366197,0.605769,0.870666,0.507042,0.538462,0.930525,0.577465,0.596154,0.910211,0.6875,accident
0.462312,0.59596,0.911578,0.545455,0.484848,0.919498,0.424242,0.616162,0.873584,0.484848,0.565657,0.942251,0.585859,0.636364,0.91154,1.00505,accident
0.479532,0.598985,0.906195,0.541176,0.540816,0.917887,0.364706,0.612245,0.879352,0.505882,0.55102,0.933133,0.635294,0.632653,0.89964,0.86802,accident
0.472222,0.585492,0.907283,0.588889,0.5,0.917593,0.411111,0.59375,0.870949,0.5,0.59375,0.934144,0.622222,0.59375,0.908102,0.932642,accident
0.483871,0.571429,0.89906,0.597403,0.528736,0.917003,0.376623,0.632184,0.880579,0.402597,0.494253,0.906702,0.545455,0.62069,0.892521,0.885714,accident
0.496063,0.561404,0.881061,0.68254,0.611765,0.900654,0.460317,0.552941,0.828758,0.587302,0.388235,0.899346,0.587302,0.623529,0.899346,0.74269,accident
0.459459,0.560284,0.86659,0.545455,0.557143,0.863117,0.363636,0.571429,0.831948,0.545455,0.385714,0.90961,0.545455,0.6,0.874545,0.787234,accident
0.431193,0.542254,0.858832,0.5,0.521127,0.853156,0.425926,0.549296,0.783777,0.685185,0.380282,0.906103,0.555556,0.549296,0.893845,0.767606,accident
0.469027,0.588235,0.840122,0.571429,0.558824,0.898372,0.428571,0.573529,0.74291,0.5,0.485294,0.859769,0.535714,0.558824,0.860557,0.830882,accident
0.451327,0.540984,0.880531,0.5,0.459016,0.836066,0.517857,0.52459,0.875878,0.285714,0.704918,0.939403,0.625,0.606557,0.870023,0.92623,accident
0.552239,0.563636,0.795387,0.69697,0.581818,0.865014,0.454545,0.527273,0.818182,0.393939,0.454545,0.800551,0.484848,0.563636,0.700826,0.609091,accident
0.6375,0.520661,0.849483,0.825,0.6,0.914583,0.5,0.55,0.900417,0.5,0.45,0.797917,0.575,0.533333,0.785833,0.661157,accident
0.43662,0.587629,0.8018,0.685714,0.5,0.789881,0.457143,0.541667,0.720833,0.2,0.666667,0.907738,0.514286,0.541667,0.777381,0.731959,accident
0.471264,0.514851,0.833504,0.744186,0.52,0.810698,0.511628,0.52,0.806512,0.44186,0.6,0.866047,0.372093,0.36,0.844186,0.861386,accident
